Wavelength (nm),Abs
567.0344238,0.081850715
565.9899292,0.081135042
564.9451904,0.081860721
564.0494995,0.082520209
563.0042114,0.08289773
561.9587402,0.08451993
561.0623169,0.08364933
560.0163574,0.08424972
558.9700317,0.084671214
558.0730591,0.084981538
557.0263062,0.08448559
555.979248,0.085555308
554.9319458,0.086096443
554.0340576,0.086537994
552.9863281,0.086445533
551.9382935,0.085909225
551.0397339,0.087025985
549.9912109,0.087307736
548.9424438,0.087846525
548.0432739,0.088813424
546.9940186,0.08757209
545.944519,0.08864294
545.0447388,0.089218996
543.994751,0.089124307
542.944458,0.090351477
542.0440674,0.090556435
540.9933472,0.090674758
539.9423218,0.0914867
539.0412598,0.092545345
537.9898071,0.092463985
536.9381104,0.092041068
536.036438,0.092770763
534.9842529,0.093356177
533.9318237,0.093673795
533.029541,0.094166912
531.9766235,0.094824441
531.0739746,0.094892807
530.0205688,0.095716849
528.96698,0.095973618
528.0636597,0.096442178
527.0095825,0.097193584
525.9552612,0.097607419
525.0513306,0.098535091
523.996521,0.097808078
522.9415283,0.098873779
522.0369873,0.099361777
520.9815063,0.100252681
519.9257813,0.101456814
519.0206299,0.102090538
517.9644165,0.102576166
517.0588989,0.103304543
516.0022583,0.104034446
514.9453735,0.105103485
514.0392456,0.105501697
512.9819336,0.107210867
512.0754395,0.107878901
511.0176392,0.109107152
509.9595947,0.110090897
509.0525208,0.111165308
507.9940186,0.113048427
506.9353027,0.114933699
506.0276489,0.11593426
504.9684753,0.117771193
504.0604248,0.119618073
503.000824,0.12127135
501.9409485,0.1241346
501.0323181,0.126464889
499.9720459,0.129374042
499.0630188,0.131373763
498.0023193,0.134406209
496.9413452,0.138154924
496.0317688,0.140747696
494.9703674,0.145013616
494.0604248,0.148410335
492.9985657,0.152634293
491.9365234,0.156707376
491.026001,0.161041483
489.963501,0.166429803
489.0526123,0.171177387
487.9896851,0.175763264
486.9265137,0.181014791
486.0150757,0.185992271
484.9514771,0.192435682
484.0396729,0.196615279
482.975647,0.202502579
482.0634766,0.206722081
480.999054,0.212968707
479.9343872,0.218662545
479.021637,0.224653497
477.9565735,0.229555756
477.043457,0.233930245
475.9779663,0.238442823
475.0645142,0.244464576
473.9985962,0.250211418
472.9324646,0.255113125
472.0184631,0.259496123
470.9519043,0.264249176
470.0375366,0.269209504
468.9705811,0.274261773
468.0558472,0.279659301
466.9884949,0.284323543
466.0734253,0.289145738
465.0056458,0.29379037
463.9376221,0.299037933
463.0220337,0.304157674
461.9536133,0.309161425
461.0376587,0.314116836
459.9688416,0.318324745
459.0525513,0.322091043
457.9833374,0.328142971
457.0667114,0.333117604
455.9970703,0.338459283
454.9272461,0.343892068
454.0100708,0.346769214
452.9398499,0.351898283
452.0223389,0.357161433
450.9516907,0.361153454
450.033844,0.364284158
448.9628296,0.367869169
448.0446472,0.371361524
446.9732361,0.375003874
446.054718,0.378193736
