Grape Kool Aid,,,,
Wavelength (nm),Abs,,505 nm,1.629689932
616.0704346,1.195096254,,,
615.0394287,1.159154892,,,
614.0081177,1.115852237,,,
612.9765015,1.074002266,,,
611.9446411,1.035042524,,,
611.0599365,1.011424065,,,
610.0275269,0.97302717,,,
608.994812,0.937111557,,,
607.961853,0.901348591,,,
606.9285278,0.869198084,,,
606.0426636,0.843487203,,,
605.0088501,0.817140222,,,
603.9747314,0.789759755,,,
602.9403687,0.765568197,,,
602.0535278,0.741936684,,,
601.0186157,0.721262395,,,
599.9833984,0.701167882,,,
598.947937,0.683376849,,,
598.0601807,0.672947884,,,
597.0241699,0.657942653,,,
595.987854,0.654548049,,,
594.9512939,0.630470514,,,
594.062561,0.621632576,,,
593.0255127,0.611087441,,,
591.9880981,0.604978681,,,
590.9505005,0.595926881,,,
590.0608521,0.589857161,,,
589.022644,0.582196593,,,
587.9841919,0.576972008,,,
586.9454956,0.569895327,,,
586.0549316,0.568333685,,,
585.015686,0.563335419,,,
583.9761963,0.560058296,,,
582.9364014,0.559347034,,,
582.0449219,0.556336522,,,
581.0046387,0.552834451,,,
579.9640503,0.552464724,,,
579.0718994,0.551497996,,,
578.0308228,0.55020529,,,
576.9894409,0.551359773,,,
575.9478149,0.551370621,,,
575.0548096,0.554390252,,,
574.0126343,0.556257606,,,
572.9702148,0.561735213,,,
571.9275513,0.562875986,,,
571.0336304,0.566163957,,,
569.9904785,0.575073123,,,
568.9470215,0.581742287,,,
568.0524292,0.59065938,,,
567.0084839,0.600263119,,,
565.9642334,0.611557663,,,
565.0689697,0.622805715,,,
564.024292,0.639353871,,,
562.9793091,0.654213786,,,
561.934021,0.67193675,,,
561.0379028,0.688142598,,,
559.9921875,0.706459045,,,
558.946167,0.729261577,,,
558.0493774,0.751076818,,,
557.0029297,0.774075508,,,
555.9561157,0.799405456,,,
555.0587158,0.819696128,,,
554.0114746,0.847122729,,,
552.9639893,0.874569058,,,
552.065918,0.899740636,,,
551.0178833,0.930566609,,,
549.9696655,0.956668317,,,
549.0709839,0.979365408,,,
548.0222168,1.008174062,,,
546.9732056,1.033011317,,,
546.0739136,1.05790329,,,
545.0244141,1.083218455,,,
543.9746704,1.109033346,,,
543.074707,1.126948476,,,
542.0245361,1.150004148,,,
540.9740601,1.170634866,,,
540.0734863,1.191386104,,,
539.022522,1.210317969,,,
537.9713135,1.231695771,,,
537.0701294,1.2462008,,,
536.0184326,1.262163877,,,
534.9665527,1.279435873,,,
534.0646973,1.296166897,,,
533.0123291,1.307583094,,,
531.9596558,1.324266911,,,
531.0571899,1.335343003,,,
530.0040894,1.346148491,,,
528.9507446,1.358640432,,,
528.0476685,1.370451331,,,
526.9938965,1.382180691,,,
525.9398193,1.392359018,,,
525.0361328,1.401695848,,,
523.9816284,1.417039156,,,
522.9268188,1.424438119,,,
522.022522,1.434962034,,,
520.9672852,1.443452239,,,
520.0626221,1.456025481,,,
519.006958,1.466867805,,,
517.9509888,1.497930527,,,
517.0457153,1.487955928,,,
515.9893188,1.500499725,,,
514.9326782,1.518890858,,,
514.0267944,1.528390527,,,
