Wavelength (nm),Abs,Concentration,,,,,,,,,,,,,,,,,
711.0464478,0.000527125,0.000000201,,,,,,,,,,,,,,,,,
710.0447388,0.000825537,0.000000201,,,,,,,,,,,,,,,,,
709.0426636,0.000696762,0.000000201,,,,,,,,,,,,,,,,,
708.0402832,0.000739363,0.000000201,,,,,,,,,,,,,,,,,
707.0375366,0.000747272,0.000000201,,,,,,,,,,,,,,,,,
706.0344849,0.000869629,0.000000201,,,,,,,,,,,,,,,,,
705.0310669,0.000495248,0.000000201,,,,,,,,,,,,,,,,,
704.0273438,0.001367532,0.000000201,,,,,,,,,,,,,,,,,
703.0232544,0.000747427,0.000000201,,,,,,,,,,,,,,,,,
702.0188599,0.00019714,0.000000201,,,,,,,,,,,,,,,,,
701.0140991,0.001054709,0.000000201,,,,,,,,,,,,,,,,,
700.0090332,0.000741048,0.000000201,,,,,,,,,,,,,,,,,
699.0036621,0.001159114,0.000000201,,,,,,,,,,,,,,,,,
697.9979248,0.000677005,0.000000201,,,,,,,,,,,,,,,,,
696.9918823,0.000860317,0.000000201,,,,,,,,,,,,,,,,,
695.9854736,0.000661683,0.000000201,,,,,,,,,,,,,,,,,
694.9787598,0.001357223,0.000000201,,,,,,,,,,,,,,,,,
693.9717407,0.000760859,0.000000201,,,,,,,,,,,,,,,,,
692.9643555,0.000379965,0.000000201,,,,,,,,,,,,,,,,,
691.956665,0.001260455,0.000000201,,,,,,,,,,,,,,,,,
690.9486694,0.000652946,0.000000201,,,,,,,,,,,,,,,,,
689.9403076,0.000231689,0.000000201,,,,,,,,,,,,,,,,,
688.9316406,0.001870582,0.000000201,,,,,,,,,,,,,,,,,
688.0667725,0.001354808,0.000000201,,,,,,,,,,,,,,,,,
687.0574951,0.001349797,0.000000201,,,,,,,,,,,,,,,,,
686.0479126,0.001404434,0.000000201,,,,,,,,,,,,,,,,,
685.0379639,0.000516577,0.000000201,,,,,,,,,,,,,,,,,
684.02771,0.000553432,0.000000201,,,,,,,,,,,,,,,,,
683.0171509,0.00171808,0.000000201,,,,,,,,,,,,,,,,,
682.0062256,0.002209907,0.000000201,,,,,,,,,,,,,,,,,
680.9949951,0.001103626,0.000000201,,,,,,,,,,,,,,,,,
679.9834595,0.001440144,0.000000201,,,,,,,,,,,,,,,,,
678.9716187,0.001963378,0.000000201,,,,,,,,,,,,,,,,,
677.9594116,0.00214099,0.000000201,,,,,,,,,,,,,,,,,
676.9468994,0.001784746,0.000000201,,,,,,,,,,,,,,,,,
675.934082,0.002957371,0.000000201,,,,,,,,,,,,,,,,,
675.0656738,0.002016168,0.000000201,,,,,,,,,,,,,,,,,
674.0523071,0.002186049,0.000000201,,,,,,,,,,,,,,,,,
673.0385742,0.002340589,0.000000201,,,,,,,,,,,,,,,,,
672.0244751,0.002113729,0.000000201,,,,,,,,,,,,,,,,,
671.0101318,0.001708751,0.000000201,,,,,,,,,,,,,,,,,
669.9954224,0.002176033,0.000000201,,,,,,,,,,,,,,,,,
668.9804077,0.002901288,0.000000201,,,,,,,,,,,,,,,,,
667.9650879,0.003141727,0.000000201,,,,,,,,,,,,,,,,,
666.9494629,0.002569208,0.000000201,,,,,,,,,,,,,,,,,
665.9335327,0.003189575,0.000000201,,,,,,,,,,,,,,,,,
665.062439,0.00378798,0.000000201,,,,,,,,,,,,,,,,,
664.0458984,0.003661221,0.000000201,,,,,,,,,,,,,,,,,
663.0290527,0.004729764,0.000000201,,,,,,,,,,,,,,,,,
662.0119019,0.004765879,0.000000201,,,,,,,,,,,,,,,,,
660.9944458,0.004787053,0.000000201,,,,,,,,,,,,,,,,,
659.9766235,0.004728822,0.000000201,,,,,,,,,,,,,,,,,
658.9585571,0.005275005,0.000000201,,,,,,,,,,,,,,,,,
657.9401245,0.006186754,0.000000201,,,,,,,,,,,,,,,,,
657.0669556,0.006492655,0.000000201,,,,,,,,,,,,,,,,,
656.0479736,0.006978925,0.000000201,,,,,,,,,,,,,,,,,
655.0286865,0.007918066,0.000000201,,,,,,,,,,,,,,,,,
654.0090332,0.008128435,0.000000201,,,,,,,,,,,,,,,,,
652.9891357,0.008407678,0.000000201,,,,,,,,,,,,,,,,,
651.9689331,0.008542166,0.000000201,,,,,,,,,,,,,,,,,
650.9483643,0.009746441,0.000000201,,,,,,,,,,,,,,,,,
649.9275513,0.010071127,0.000000201,,,,,,,,,,,,,,,,,
649.0523071,0.011582413,0.000000201,,,,,,,,,,,,,,,,,
648.0308838,0.011778685,0.000000201,,,,,,,,,,,,,,,,,
647.0091553,0.013175497,0.000000201,,,,,,,,,,,,,,,,,
645.9871216,0.013546981,0.000000201,,,,,,,,,,,,,,,,,
644.9648438,0.013105752,0.000000201,,,,,,,,,,,,,,,,,
643.9421997,0.014636087,0.000000201,,,,,,,,,,,,,,,,,
643.0653687,0.015857859,0.000000201,,,,,,,,,,,,,,,,,
642.0421753,0.016304098,0.000000201,,,,,,,,,,,,,,,,,
641.0186768,0.017261704,0.000000201,,,,,,,,,,,,,,,,,
639.994873,0.017191758,0.000000201,,,,,,,,,,,,,,,,,
638.9707642,0.018225558,0.000000201,,,,,,,,,,,,,,,,,
637.9464111,0.018817998,0.000000201,,,,,,,,,,,,,,,,,
637.0680542,0.019379146,0.000000201,,,,,,,,,,,,,,,,,
636.0430908,0.019967146,0.000000201,,,,,,,,,,,,,,,,,
635.0178223,0.020884035,0.000000201,,,,,,,,,,,,,,,,,
633.9922485,0.021494802,0.000000201,,,,,,,,,,,,,,,,,
632.9664307,0.021810103,0.000000201,,,,,,,,,,,,,,,,,
631.9402466,0.022064025,0.000000201,,,,,,,,,,,,,,,,,
631.0604248,0.022210492,0.000000201,,,,,,,,,,,,,,,,,
630.0336914,0.021974729,0.000000201,,,,,,,,,,,,,,,,,
629.0067139,0.022280732,0.000000201,,,,,,,,,,,,,,,,,
627.9793701,0.022119941,0.000000201,,,,,,,,,,,,,,,,,
626.9517822,0.022489889,0.000000201,,,,,,,,,,,,,,,,,
626.0707397,0.022154426,0.000000201,,,,,,,,,,,,,,,,,
625.0425415,0.021596268,0.000000201,,,,,,,,,,,,,,,,,
624.0140991,0.021313937,0.000000201,,,,,,,,,,,,,,,,,
622.9853516,0.021087574,0.000000201,,,,,,,,,,,,,,,,,
621.9562988,0.020982858,0.000000201,,,,,,,,,,,,,,,,,
620.9269409,0.018866092,0.000000201,,,,,,,,,,,,,,,,,
620.0444336,0.019973271,0.000000201,,,,,,,,,,,,,,,,,
619.0145874,0.018780237,0.000000201,,,,,,,,,,,,,,,,,
617.984375,0.018626897,0.000000201,,,,,,,,,,,,,,,,,
616.9539185,0.017538557,0.000000201,,,,,,,,,,,,,,,,,
616.0704346,0.018056465,0.000000201,,,,,,,,,,,,,,,,,
615.0394287,0.017061647,0.000000201,,,,,,,,,,,,,,,,,
614.0081177,0.016453555,0.000000201,,,,,,,,,,,,,,,,,
612.9765015,0.015785374,0.000000201,,,,,,,,,,,,,,,,,
611.9446411,0.015703427,0.000000201,,,,,,,,,,,,,,,,,
611.0599365,0.015305183,0.000000201,,,,,,,,,,,,,,,,,
610.0275269,0.014571354,0.000000201,,,,,,,,,,,,,,,,,
608.994812,0.014429554,0.000000201,,,,,,,,,,,,,,,,,
607.961853,0.012978005,0.000000201,,,,,,,,,,,,,,,,,
606.9285278,0.013588832,0.000000201,,,,,,,,,,,,,,,,,
606.0426636,0.013248535,0.000000201,,,,,,,,,,,,,,,,,
